SALE DATE,RECEIPT NO,ORDERTYPE NAME,ITEM NAME,CATEGORY NAME,COST PRICE,SELLING PRICE,ITEM QUANTITY,ITEM AMOUNT,TAX AMOUNT,LOCATION,EXPECTED_REVENUE,REVENUE_LEAKAGE,TOTAL_COST,TRUE_PROFIT,IS_DEFECT,IS_SYSTEM_ERROR,Sigma_Level,Yield,Defect_Count
2019-01-09,BL84,On Shop, Jeans - Levis,Casual Wear,13737,13937,1,1100,0,Bangalore,13937,12837,13737,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL79,On Shop, Chain,Accessories,5976,6176,1,600,0,Chennai,6176,5576,5976,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL94,On Shop, T-shirt,Semi Formal,16341,16541,1,16541,0,Hyderabad,16541,0,16341,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL78,On Shop, Jeans - Denim,Casual Wear,15115,15315,1,15315,0,Chennai,15315,0,15115,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL79,On Shop, shirt,Formal,7377,7577,1,7577,0,Hyderabad,7577,0,7377,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL94,On Shop, Chain,Accessories,13481,13681,2,27362,0,Hyderabad,27362,0,26962,400,False,False,5.219016485455709,1.0,0
2019-01-09,BL94,On Shop, T-shirt,Semi Formal,3924,4124,1,4124,0,Hyderabad,4124,0,3924,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL94,On Shop, Jeans - Levis,Casual Wear,7169,7369,1,7369,0,Hyderabad,7369,0,7169,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL93,On Shop, Jeans - Zara,Casual Wear,17627,17827,1,17827,0,Hyderabad,17827,0,17627,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL92,On Shop, T-shirt,Semi Formal,6888,7088,1,7088,0,Chennai,7088,0,6888,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL91,On Shop, T-shirt,Semi Formal,5601,5801,1,5801,0,Chennai,5801,0,5601,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL90,On Shop, Jeans - Levis,Casual Wear,10933,11133,2,22266,0,Bangalore,22266,0,21866,400,False,False,5.219016485455709,1.0,0
2019-01-09,BL89,On Shop, Jeans - Zara,Casual Wear,9792,9992,1,9992,0,Chennai,9992,0,9792,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL88,On Shop, T-shirt,Semi Formal,6191,6391,1,6391,0,Bangalore,6391,0,6191,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL87,On Shop, Jeans - Denim,Casual Wear,16355,16555,1,16555,0,Bangalore,16555,0,16355,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL86,On Shop, T-shirt,Semi Formal,1718,1918,1,1918,0,Bangalore,1918,0,1718,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL79,On Shop, Chain,Accessories,8360,8560,1,8560,0,Bangalore,8560,0,8360,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL86,On Shop, Jeans - Denim,Casual Wear,17441,17641,1,17641,0,Chennai,17641,0,17441,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL85,On Shop, Jeans - Levis,Casual Wear,7712,7912,1,7912,0,Bangalore,7912,0,7712,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL84,On Shop, Jeans - Levis,Casual Wear,13506,13706,1,13706,0,Bangalore,13706,0,13506,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL83,On Shop, Jeans - Denim,Casual Wear,9380,9580,1,9580,0,Hyderabad,9580,0,9380,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL83,On Shop, Jeans - Zara,Casual Wear,642,842,1,842,0,Bangalore,842,0,642,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL83,On Shop, Jeans - Levis,Casual Wear,16121,16321,1,16321,0,Hyderabad,16321,0,16121,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL83,On Shop, Jeans - Lega,Casual Wear,10932,11132,1,11132,0,Bangalore,11132,0,10932,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL82,On Shop, Jeans - Levis,Casual Wear,10362,10562,1,10562,0,Chennai,10562,0,10362,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL81,On Shop, Jeans - Lega,Casual Wear,15062,15262,1,15262,0,Hyderabad,15262,0,15062,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL81,On Shop, Jeans - Zara,Casual Wear,1510,1710,1,1710,0,Hyderabad,1710,0,1510,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL80,On Shop, Jeans - Levis,Casual Wear,9007,9207,1,9207,0,Hyderabad,9207,0,9007,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL80,On Shop, Jeans - Zara,Casual Wear,12970,13170,1,13170,0,Bangalore,13170,0,12970,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL85,On Shop, Jeans - Lega,Casual Wear,3405,3605,1,3605,0,Chennai,3605,0,3405,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL85,On Shop, Jeans - Lega,Casual Wear,4764,4964,1,1000,0,Chennai,4964,3964,4764,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL85,On Shop, Jeans - Levis,Casual Wear,13044,13244,1,1100,0,Chennai,13244,12144,13044,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL86,On Shop, T-shirt,Semi Formal,17824,18024,1,600,0,Bangalore,18024,17424,17824,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL97,On Shop, Wallet,Accessories,9164,9364,1,500,0,Bangalore,9364,8864,9164,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL98,On Shop, Jeans - Lega,Casual Wear,3642,3842,1,1000,0,Hyderabad,3842,2842,3642,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL86,On Shop, Jeans - Denim,Casual Wear,15695,15895,1,900,0,Hyderabad,15895,14995,15695,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL99,On Shop, shirt,Formal,13331,13531,1,850,0,Hyderabad,13531,12681,13331,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL99,On Shop, Shirt - PE,Semi Formal,2868,3068,1,800,0,Chennai,3068,2268,2868,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL100,On Shop, Jeans - Denim,Casual Wear,17256,17456,1,900,0,Bangalore,17456,16556,17256,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL100,On Shop, Jeans - Denim,Casual Wear,5719,5919,1,900,0,Bangalore,5919,5019,5719,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL95,On Shop, Jeans - Zara,Casual Wear,9463,9663,1,9663,0,Bangalore,9663,0,9463,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL100,On Shop, Jeans - Denim,Casual Wear,14794,14994,1,14994,0,Bangalore,14994,0,14794,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL97,On Shop, Wallet,Accessories,1160,1360,1,900,0,Chennai,1360,460,1160,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL100,On Shop, Jeans - Denim,Casual Wear,9742,9942,1,9942,0,Chennai,9942,0,9742,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL99,On Shop, shirt,Formal,8264,8464,1,8464,0,Hyderabad,8464,0,8264,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL98,On Shop, Jeans - Denim,Casual Wear,14663,14863,2,29726,0,Hyderabad,29726,0,29326,400,False,False,5.219016485455709,1.0,0
2019-01-09,BL98,On Shop, Chain,Accessories,15315,15515,1,15515,0,Bangalore,15515,0,15315,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL98,On Shop, Jeans - Lega,Casual Wear,937,1137,1,1137,0,Bangalore,1137,0,937,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL97,On Shop, Wallet,Accessories,6144,6344,1,6344,0,Chennai,6344,0,6144,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL97,On Shop, Wallet,Accessories,4783,4983,1,4983,0,Hyderabad,4983,0,4783,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL96,On Shop, Jeans - Levis,Casual Wear,6335,6535,1,6535,0,Chennai,6535,0,6335,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL95,On Shop, Jeans - Denim,Casual Wear,9281,9481,1,9481,0,Chennai,9481,0,9281,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL95,On Shop, Jeans - Levis,Casual Wear,17403,17603,1,17603,0,Hyderabad,17603,0,17403,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL99,On Shop, Shirt - PE,Semi Formal,9398,9598,1,9598,0,Hyderabad,9598,0,9398,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL96,On Shop, Jeans - Levis,Casual Wear,4186,4386,1,1100,0,Bangalore,4386,3286,4186,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL98,On Shop, Chain,Accessories,8697,8897,1,600,0,Chennai,8897,8297,8697,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL95,On Shop, Jeans - Levis,Casual Wear,15238,15438,1,1100,0,Hyderabad,15438,14338,15238,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL87,On Shop, Jeans - Denim,Casual Wear,9845,10045,1,900,0,Chennai,10045,9145,9845,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL88,On Shop, T-shirt,Semi Formal,9042,9242,1,600,0,Bangalore,9242,8642,9042,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL89,On Shop, Jeans - Zara,Casual Wear,11103,11303,1,900,0,Chennai,11303,10403,11103,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL91,On Shop, T-shirt,Semi Formal,1018,1218,1,600,0,Hyderabad,1218,618,1018,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL92,On Shop, T-shirt,Semi Formal,5010,5210,1,600,0,Hyderabad,5210,4610,5010,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL93,On Shop, Jeans - Zara,Casual Wear,10478,10678,1,900,0,Chennai,10678,9778,10478,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL94,On Shop, Jeans - Levis,Casual Wear,15498,15698,1,1100,0,Bangalore,15698,14598,15498,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL94,On Shop, T-shirt,Semi Formal,15605,15805,1,600,0,Chennai,15805,15205,15605,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL94,On Shop, Chain,Accessories,17621,17821,1,600,0,Chennai,17821,17221,17621,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL94,On Shop, T-shirt,Semi Formal,8775,8975,1,600,0,Chennai,8975,8375,8775,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL94,On Shop, Chain,Accessories,4186,4386,1,600,0,Chennai,4386,3786,4186,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL94,On Shop, T-shirt,Semi Formal,3584,3784,1,600,0,Bangalore,3784,3184,3584,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL95,On Shop, Jeans - Denim,Casual Wear,16867,17067,1,900,0,Chennai,17067,16167,16867,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL94,On Shop, Jeans - Levis,Casual Wear,1394,1594,3,3300,0,Chennai,4782,1482,4182,600,False,True,5.219016485455709,1.0,1
2019-01-09,BL94,On Shop, Chain,Accessories,8342,8542,1,8542,0,Hyderabad,8542,0,8342,200,False,False,5.219016485455709,1.0,0
2019-01-09,BL95,On Shop, shirt,Formal,13193,13393,1,850,0,Bangalore,13393,12543,13193,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL95,On Shop, Jeans - Zara,Casual Wear,13709,13909,1,900,0,Hyderabad,13909,13009,13709,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL95,On Shop, Shirt - PE,Semi Formal,17395,17595,1,800,0,Bangalore,17595,16795,17395,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL95,On Shop, Jeans - Levis,Casual Wear,10217,10417,1,1100,0,Hyderabad,10417,9317,10217,200,False,True,5.219016485455709,1.0,1
2019-01-09,BL95,On Shop, Shirt - Arrow,Formal,15002,15202,1,1200,0,Chennai,15202,14002,15002,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL103,On Shop, Jeans - Zara,Casual Wear,5484,5684,1,5684,0,Hyderabad,5684,0,5484,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL108,Online Order, Chain,Accessories,10486,10686,1,10686,0,Hyderabad,10686,0,10486,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL108,Online Order, Jeans - Levis,Casual Wear,9285,9485,1,9485,0,Chennai,9485,0,9285,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL108,Online Order, Wallet,Accessories,14526,14726,1,14726,0,Chennai,14726,0,14526,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL110,On Shop, Wallet,Accessories,5489,5689,1,5689,0,Hyderabad,5689,0,5489,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL109,On Shop, Jeans - Denim,Casual Wear,11062,11262,1,11262,0,Bangalore,11262,0,11062,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL110,On Shop, shirt,Formal,11761,11961,1,11961,0,Hyderabad,11961,0,11761,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL110,On Shop, T-shirt,Semi Formal,7863,8063,1,8063,0,Bangalore,8063,0,7863,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL110,On Shop, Jeans - Levis,Casual Wear,12976,13176,1,13176,0,Chennai,13176,0,12976,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL101,On Shop, Jeans - Levis,Casual Wear,9994,10194,1,10194,0,Hyderabad,10194,0,9994,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL101,On Shop, Jeans - Zara,Casual Wear,7915,8115,1,8115,0,Hyderabad,8115,0,7915,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL110,On Shop, T-shirt,Semi Formal,6383,6583,1,6583,0,Bangalore,6583,0,6383,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL102,On Shop, T-shirt,Semi Formal,15156,15356,1,15356,0,Bangalore,15356,0,15156,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL102,On Shop, T-shirt,Semi Formal,5559,5759,1,5759,0,Hyderabad,5759,0,5559,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL107,Online Order, Shirt - Arrow,Formal,3724,3924,1,3924,0,Chennai,3924,0,3724,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL110,On Shop, T-shirt,Semi Formal,7926,8126,1,600,0,Hyderabad,8126,7526,7926,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL110,On Shop, Wallet,Accessories,8376,8576,1,500,0,Hyderabad,8576,8076,8376,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL110,On Shop, Jeans - Levis,Casual Wear,10443,10643,1,1100,0,Bangalore,10643,9543,10443,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL110,On Shop, T-shirt,Semi Formal,1950,2150,1,600,0,Chennai,2150,1550,1950,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL110,On Shop, shirt,Formal,6120,6320,1,850,0,Bangalore,6320,5470,6120,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL109,On Shop, Jeans - Denim,Casual Wear,4031,4231,1,900,0,Bangalore,4231,3331,4031,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL108,Online Order, Wallet,Accessories,12481,12681,1,500,0,Chennai,12681,12181,12481,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL108,Online Order, Chain,Accessories,10074,10274,1,600,0,Chennai,10274,9674,10074,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL107,Online Order, Shirt - Arrow,Formal,7431,7631,1,1200,0,Hyderabad,7631,6431,7431,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL107,Online Order, T-shirt,Semi Formal,11115,11315,1,600,0,Bangalore,11315,10715,11115,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL107,Online Order, Jeans - Levis,Casual Wear,10720,10920,1,1100,0,Bangalore,10920,9820,10720,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL106,Online Order, Jeans - Denim,Casual Wear,8528,8728,1,900,0,Chennai,8728,7828,8528,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL106,Online Order, Jeans - Levis,Casual Wear,13918,14118,1,1100,0,Bangalore,14118,13018,13918,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL106,Online Order, T-shirt,Semi Formal,6195,6395,1,600,0,Bangalore,6395,5795,6195,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL106,On Shop, T-shirt,Semi Formal,11887,12087,1,600,0,Bangalore,12087,11487,11887,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL108,Online Order, Jeans - Levis,Casual Wear,9492,9692,1,1100,0,Bangalore,9692,8592,9492,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL104,On Shop, shirt,Formal,13798,13998,1,850,0,Bangalore,13998,13148,13798,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL107,Online Order, T-shirt,Semi Formal,5443,5643,1,5643,0,Bangalore,5643,0,5443,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL105,On Shop, Jeans - Zara,Casual Wear,4717,4917,1,900,0,Bangalore,4917,4017,4717,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL106,Online Order, Jeans - Denim,Casual Wear,3110,3310,1,3310,0,Bangalore,3310,0,3110,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL106,Online Order, Jeans - Levis,Casual Wear,6692,6892,1,6892,0,Bangalore,6892,0,6692,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL106,Online Order, T-shirt,Semi Formal,6705,6905,1,6905,0,Bangalore,6905,0,6705,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL106,On Shop, T-shirt,Semi Formal,5075,5275,1,5275,0,Chennai,5275,0,5075,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL105,On Shop, Jeans - Zara,Casual Wear,8141,8341,1,8341,0,Chennai,8341,0,8141,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL107,Online Order, Jeans - Levis,Casual Wear,16825,17025,1,17025,0,Bangalore,17025,0,16825,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL104,On Shop, shirt,Formal,14761,14961,1,14961,0,Chennai,14961,0,14761,200,False,False,5.219016485455709,1.0,0
2019-01-10,BL101,On Shop, Jeans - Levis,Casual Wear,13072,13272,1,1100,0,Hyderabad,13272,12172,13072,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL101,On Shop, Jeans - Zara,Casual Wear,5827,6027,1,900,0,Bangalore,6027,5127,5827,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL102,On Shop, T-shirt,Semi Formal,14630,14830,1,600,0,Chennai,14830,14230,14630,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL102,On Shop, T-shirt,Semi Formal,10132,10332,1,600,0,Chennai,10332,9732,10132,200,False,True,5.219016485455709,1.0,1
2019-01-10,BL103,On Shop, Jeans - Zara,Casual Wear,13449,13649,1,900,0,Hyderabad,13649,12749,13449,200,False,True,5.219016485455709,1.0,1
2019-02-06,LN5,On Shop, Jeans - Denim,Casual Wear,15476,15676,1,1100,0,Bangalore,15676,14576,15476,200,False,True,5.219016485455709,1.0,1
2019-02-06,LN5,On Shop, Jeans - Denim,Casual Wear,3822,4022,1,1100,0,Bangalore,4022,2922,3822,200,False,True,5.219016485455709,1.0,1
2019-02-06,LN5,On Shop, Jeans - Zara,Casual Wear,11996,12196,1,900,0,Bangalore,12196,11296,11996,200,False,True,5.219016485455709,1.0,1
2019-02-06,LN6,On Shop, Jeans - Denim,Casual Wear,13385,13585,1,900,0,Bangalore,13585,12685,13385,200,False,True,5.219016485455709,1.0,1
2019-02-06,LN7,On Shop, Jeans - Zara,Casual Wear,6437,6637,1,900,0,Hyderabad,6637,5737,6437,200,False,True,5.219016485455709,1.0,1
2019-02-06,LN7,On Shop, Jeans - Denim,Casual Wear,9373,9573,1,1100,0,Chennai,9573,8473,9373,200,False,True,5.219016485455709,1.0,1
2019-02-06,LN7,On Shop, Jeans - Denim,Casual Wear,7799,7999,1,1100,0,Hyderabad,7999,6899,7799,200,False,True,5.219016485455709,1.0,1
2019-02-06,LN9,On Shop, Jeans - Zara,Casual Wear,1007,1207,1,900,0,Bangalore,1207,307,1007,200,False,True,5.219016485455709,1.0,1
2019-02-06,BL16,On Shop, Jeans - Zara,Casual Wear,18172,18372,1,900,0,Hyderabad,18372,17472,18172,200,False,True,5.219016485455709,1.0,1
2019-02-06,LN10,On Shop, Jeans - Zara,Casual Wear,15229,15429,1,900,0,Hyderabad,15429,14529,15229,200,False,True,5.219016485455709,1.0,1
2019-02-06,LN10,On Shop, Jeans - Zara,Casual Wear,11010,11210,1,900,0,Hyderabad,11210,10310,11010,200,False,True,5.219016485455709,1.0,1
2019-02-06,LN11,On Shop, Jeans - Zara,Casual Wear,2835,3035,1,900,0,Hyderabad,3035,2135,2835,200,False,True,5.219016485455709,1.0,1
2019-02-06,LN12,On Shop, Jeans - Denim,Casual Wear,11462,11662,1,900,0,Chennai,11662,10762,11462,200,False,True,5.219016485455709,1.0,1
2019-02-06,LN12,On Shop, Jeans - Denim,Casual Wear,18195,18395,1,900,0,Bangalore,18395,17495,18195,200,False,True,5.219016485455709,1.0,1
2019-02-06,LN12,On Shop, Jeans - Denim,Casual Wear,18045,18245,1,900,0,Chennai,18245,17345,18045,200,False,True,5.219016485455709,1.0,1
2019-02-06,LN8,On Shop, Jeans - Zara,Casual Wear,2119,2319,1,900,0,Hyderabad,2319,1419,2119,200,False,True,5.219016485455709,1.0,1
2019-02-06,BL16,On Shop, Jeans - Denim,Casual Wear,16020,16220,1,900,0,Bangalore,16220,15320,16020,200,False,True,5.219016485455709,1.0,1
2019-02-06,BL12,On Shop, Jeans - Denim,Casual Wear,3546,3746,1,1100,0,Chennai,3746,2646,3546,200,False,True,5.219016485455709,1.0,1
2019-02-06,BL15,On Shop, Jeans - Denim,Casual Wear,6349,6549,1,1100,0,Bangalore,6549,5449,6349,200,False,True,5.219016485455709,1.0,1
2019-02-06,BL11,On Shop, Jeans - Denim,Casual Wear,9085,9285,1,1100,0,Chennai,9285,8185,9085,200,False,True,5.219016485455709,1.0,1
2019-02-06,BL11,On Shop, Jeans - Denim,Casual Wear,5017,5217,1,1100,0,Chennai,5217,4117,5017,200,False,True,5.219016485455709,1.0,1
2019-02-06,BL12,On Shop, Jeans - Denim,Casual Wear,11579,11779,1,1100,0,Chennai,11779,10679,11579,200,False,True,5.219016485455709,1.0,1
2019-02-06,BL12,On Shop, Jeans - Denim,Casual Wear,3759,3959,1,1100,0,Chennai,3959,2859,3759,200,False,True,5.219016485455709,1.0,1
2019-02-06,LN12,On Shop, Jeans - Denim,Casual Wear,10378,10578,1,1100,0,Bangalore,10578,9478,10378,200,False,True,5.219016485455709,1.0,1
2019-02-06,BL12,On Shop, Jeans - Denim,Casual Wear,13538,13738,1,1100,0,Chennai,13738,12638,13538,200,False,True,5.219016485455709,1.0,1
2019-02-06,LN19,On Shop, T-shirt,Semi Formal,13945,14145,1,14145,0,Hyderabad,14145,0,13945,200,False,False,5.219016485455709,1.0,0
2019-02-06,BL16,On Shop, Jeans - Denim,Casual Wear,3221,3421,1,900,0,Hyderabad,3421,2521,3221,200,False,True,5.219016485455709,1.0,1
2019-02-06,BL13,On Shop, Jeans - Denim,Casual Wear,9970,10170,1,1100,0,Hyderabad,10170,9070,9970,200,False,True,5.219016485455709,1.0,1
2019-02-06,BL13,On Shop, Jeans - Denim,Casual Wear,9255,9455,1,900,0,Hyderabad,9455,8555,9255,200,False,True,5.219016485455709,1.0,1
